Best: 38200.625 d 61799.375 d% 0.618 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 1.284s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.277s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.698s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.647s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.092s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.518s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.603s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.616s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.779s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.650s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.428s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.797s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.571s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.692s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.437s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.450s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.462s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.607s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.606s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.518s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.022s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.514s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.181s)
