Best: 42060.801 d 57939.199 d% 0.579 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 1.120s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.426s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.399s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.539s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.717s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.236s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.364s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.288s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.509s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.345s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.412s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 5.992s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.477s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.356s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.330s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.417s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.360s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.327s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.428s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.699s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.418s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.284s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.975s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.800s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.353s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.588s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.493s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.342s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.449s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.423s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.361s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.356s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.607s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.156s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.377s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.286s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.510s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.400s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.378s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.476s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.664s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.389s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.371s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.301s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.061s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.731s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.595s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.362s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.018s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.395s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.215s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.385s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.017s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.325s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.355s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.566s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.693s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.450s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.392s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.372s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.383s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 5.863s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.287s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.269s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.626s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.366s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.346s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.510s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.363s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.360s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.309s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.925s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.521s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.551s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.416s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.652s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.106s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.394s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.294s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.683s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.299s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.504s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.191s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.634s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.376s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.711s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.793s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.265s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.294s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.001s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.369s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.217s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.280s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.025s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.218s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.379s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.638s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.336s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.306s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.165s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.119s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 5.887s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.603s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.298s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.554s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.862s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.454s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.375s)
Best: 42060.801 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.425s)
Best: 42056.716 d 4.085 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.302s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.561s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.514s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.660s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.335s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.270s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.353s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.074s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.424s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 7.043s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.357s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.580s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 5.800s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.267s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.156s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.381s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.339s)
Best: 42056.716 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.272s)
Best: 42048.360 d 8.356 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.362s)
Best: 42038.000 d 10.360 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.384s)
Best: 42033.483 d 4.517 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.267s)
Best: 42021.740 d 11.743 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.411s)
Best: 42016.584 d 5.156 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.006s)
Best: 42008.289 d 8.295 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.427s)
Best: 42007.540 d 0.750 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.405s)
Best: 42000.960 d 6.580 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.241s)
Best: 41995.002 d 5.958 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.956s)
Best: 41991.293 d 3.709 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.396s)
Best: 41987.969 d 3.325 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.365s)
Best: 41984.291 d 3.678 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.312s)
Best: 41980.199 d 4.092 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.134s)
Best: 41979.468 d 0.731 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.457s)
Best: 41977.697 d 1.772 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.699s)
Best: 41975.673 d 2.024 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.347s)
